user_id,recipe_id,rating,timestamp,,,,,,,,,,,,,,,,,,,,,,
270,NkG9FjA9,2.9,08/20/2024 20:10:22,,,,,,,,,,,,,,,,,,,,,,
516,hdj0zyeI,3.5,12/13/2024 09:17:17,,,,,,,,,,,,,,,,,,,,,,
825,FUWywp2n,1.7,11/13/2024 09:04:39,,,,,,,,,,,,,,,,,,,,,,
93,3wKQFiO2,4.7,06/19/2024 01:28:36,,,,,,,,,,,,,,,,,,,,,,
399,3wKQFiO2,4.1,06/05/2024 23:59,,,,,,,,,,,,,,,,,,,,,,
745,fLc9j3UC,0.8,11/02/2024 14:01,,,,,,,,,,,,,,,,,,,,,,
313,nxkYj09Q,2.2,06/09/2024 15:43,,,,,,,,,,,,,,,,,,,,,,
603,fLc9j3UC,2.3,05/15/2024 17:58:32,,,,,,,,,,,,,,,,,,,,,,
965,kCUUAGJS,4.8,07/02/2024 19:09,,,,,,,,,,,,,,,,,,,,,,
459,kOqYMICU,2.3,06/01/2024 21:17,,,,,,,,,,,,,,,,,,,,,,
982,4ymP2vDF,0.6,10/11/2024 07:01,,,,,,,,,,,,,,,,,,,,,,
377,B5P3qRxl,2.4,10/24/2024 23:41:35,,,,,,,,,,,,,,,,,,,,,,
712,aHOw7qTH,2.6,06/25/2024 05:30:26,,,,,,,,,,,,,,,,,,,,,,
995,9vCM5fVN,3.8,09/09/2024 00:13,,,,,,,,,,,,,,,,,,,,,,
691,9vCM5fVN,4.4,09/24/2024 23:13:29,,,,,,,,,,,,,,,,,,,,,,
979,BwPNGSrB,2.6,07/20/2024 23:08:40,,,,,,,,,,,,,,,,,,,,,,
577,DaXYgZ7B,4.9,05/18/2024 17:07:41,,,,,,,,,,,,,,,,,,,,,,
368,FUWywp2n,3.8,09/16/2024 20:02:16,,,,,,,,,,,,,,,,,,,,,,
211,fMTh70Hi,4.8,06/14/2024 02:33:44,,,,,,,,,,,,,,,,,,,,,,
816,6HPmarFL,0.1,10/02/2024 06:08,,,,,,,,,,,,,,,,,,,,,,
395,FH7XdwLL,4.9,08/19/2024 22:15:06,,,,,,,,,,,,,,,,,,,,,,
122,o9yT4nry,3.1,06/21/2024 01:22:02,,,,,,,,,,,,,,,,,,,,,,
317,6cGBdrNa,0.6,12/27/2024 01:45:25,,,,,,,,,,,,,,,,,,,,,,
595,3wKQFiO2,5,12/18/2024 09:04:48,,,,,,,,,,,,,,,,,,,,,,
871,mo98yE6E,3,12/21/2024 15:41:11,,,,,,,,,,,,,,,,,,,,,,
213,6HPmarFL,3.7,12/22/2024 12:06:31,,,,,,,,,,,,,,,,,,,,,,
263,6HPmarFL,2.6,05/28/2024 05:53:11,,,,,,,,,,,,,,,,,,,,,,
913,dwnuUwhF,3.5,07/12/2024 12:26,,,,,,,,,,,,,,,,,,,,,,
65,kOqYMICU,0.6,12/14/2024 12:12:19,,,,,,,,,,,,,,,,,,,,,,
602,cZK9agVW,2.6,08/28/2024 02:08:12,,,,,,,,,,,,,,,,,,,,,,
687,jAwUaSm0,1.6,12/22/2024 13:06:34,,,,,,,,,,,,,,,,,,,,,,
